	-250	-240	-230	-220	-210	-200	-190	-180	-170	-160	-150	-140	-130	-120	-110	-100	-90	-80	-70	-60	-50	-40	-30	-20	-10	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	
-9	11	11	11	11	11	11	7	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	-5	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-19	-20	-20	-19	-25	-25	-25	-25	-25	-25	
-8	16	16	16	16	16	16	10	9	9	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	-5	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-15	-17	-17	-19	-25	-25	-25	-25	-25	-25	
-7	19	19	19	19	19	19	13	12	9	6	3	3	3	3	3	3	3	3	3	3	3	3	3	2	0	0	-5	-11	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-12	-14	-18	-20	-25	-25	-25	-25	-25	-25	
-6	22	22	22	22	22	22	17	14	10	7	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	-3	-8	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-9	-13	-17	-21	-25	-25	-25	-25	-25	-25	
-5	25	25	25	25	25	25	20	16	12	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-8	-12	-16	-20	-25	-25	-25	-25	-25	-25	
-4	25	25	25	25	25	25	20	16	12	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-8	-12	-16	-20	-25	-25	-25	-25	-25	-25	
-3	25	25	25	25	25	25	20	16	12	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-8	-12	-16	-20	-25	-25	-25	-25	-25	-25	
-2	25	25	25	25	25	25	20	16	12	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-8	-12	-16	-20	-25	-25	-25	-25	-25	-25	
-1	25	25	25	25	25	25	20	16	12	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-8	-12	-16	-20	-25	-25	-25	-25	-25	-25	
0	25	25	25	25	25	25	20	16	12	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-8	-12	-16	-20	-25	-25	-25	-25	-25	-25	
1	25	25	25	25	25	25	20	16	12	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-8	-12	-16	-20	-25	-25	-25	-25	-25	-25	
